Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-09-20,5260,,2496,3615,6348,3991,1391,5119,
2012-02-17,332,,3,237,496,260,11,1,
2012-11-08,2453,,815,1589,2628,1043,1340,2608,
2012-12-06,3361,,1556,2362,4230,2381,589,3030,
2012-09-09,3312,,1810,1828,3458,2668,2118,4355,
2012-10-18,4671,,2292,3129,5542,3477,1108,4245,
2012-06-14,6908,,2978,4809,7934,4223,2386,6243,
2012-04-28,1684,,628,1190,1908,931,523,2323,
2012-05-07,6672,,2603,4830,7764,3816,2746,5153,
2012-06-15,7077,,2469,4999,7663,4053,2293,6491,
2012-04-30,3610,,1572,2825,4675,2446,851,3541,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-08-08,5498,,2313,3365,6862,3403,2226,4771,
2012-07-28,4105,,1345,2504,4540,1767,2468,4631,
2012-12-01,157,,1,134,261,137,9,63,
2012-05-24,6485,,2653,4600,7600,3792,2062,5209,
2012-12-07,6179,,2371,3772,7200,3687,2433,5140,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-07-05,5552,,2573,3959,6355,3416,1848,5253,
2012-04-04,2211,,933,1674,2956,1666,274,2242,
2012-06-07,5958,,2095,4137,6942,3387,2248,5610,
2012-02-24,243,,4,187,313,137,4,13,
2012-02-29,242,,0,164,446,190,7,4,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
2012-11-05,4639,,1803,3663,5713,2888,1260,4499,
2012-10-17,4098,,1964,2645,4836,3063,728,3834,
2012-03-22,2195,,1030,1640,2654,1958,548,2254,
2012-08-19,4644,,1408,2605,3780,1758,1683,4478,
2012-08-07,4756,,1497,2407,4495,2089,4386,5535,
2012-08-03,348,,6,238,530,270,9,9,
2012-05-14,6189,,2709,4402,7006,3868,2215,5775,
2012-04-18,3570,,1751,2759,4655,2534,706,3542,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-09-10,4787,,2210,3026,5138,3418,927,4078,
2012-06-26,3327,,1435,2139,4318,2193,620,3223,
2012-03-23,2115,,1143,1512,2955,1791,663,2325,
2012-03-30,1157,,529,910,1596,957,196,1288,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-04-10,4034,,2025,2705,4850,3066,555,3418,
2012-06-13,6180,,2792,4374,7297,3825,1968,5887,
2012-09-08,4127,,1802,2601,5377,2656,1471,3636,
2012-07-08,5997,,2410,3622,6840,3480,2780,4903,
2012-01-03,92,,0,56,199,63,0,14,
2012-05-15,3964,,1773,3144,5088,2650,975,3765,
2012-03-19,1821,,1024,1278,2581,1609,506,2058,
2012-10-30,2887,,1251,2007,3516,2255,338,2790,
2012-06-04,1633,,650,1045,1913,975,621,2138,
2012-02-08,5715,,2361,3340,6956,3329,2643,4828,
2012-10-19,1313,,597,885,1668,1209,111,1486,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-07-21,5092,,1419,2957,4658,1821,3835,4848,
2012-05-21,5129,,1646,2672,4169,2044,3413,5053,
2012-07-24,5243,,2318,3465,6721,3317,2170,4694,
2012-08-18,4427,,1333,2505,3866,1864,1229,4359,
2012-08-21,5792,,2508,4063,6687,3369,2353,5640,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-10-25,3735,,1815,2528,5010,3017,631,3767,
2012-06-21,5183,,2195,3297,6684,3272,2265,4957,
2012-08-30,6003,,2910,4199,6781,3481,1796,5202,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-10-08,2414,,934,1727,3323,1641,440,2456,
2012-12-08,3995,,1338,1937,3427,1719,2988,4178,
2012-02-19,169,,3,110,205,113,13,2,
2012-10-16,3739,,1858,2684,4681,2997,554,3593,
2012-04-22,1853,,487,1224,1331,654,198,1779,
2012-05-03,155,,1,114,363,157,8,2,
2012-02-01,83,,1,68,153,53,6,43,
2012-11-07,6424,,2548,3921,7374,3781,2779,5474,
2012-08-29,6327,,3092,4370,7009,3759,2152,5342,
2012-03-11,844,,380,612,1137,713,105,1302,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-01-11,2405,,1208,1701,3082,2076,165,2461,
2012-08-04,1164,,560,621,1333,704,792,1533,
2012-10-07,6500,,2625,4064,7436,3749,2822,5952,
2012-09-19,4653,,2351,3176,5746,3738,840,4189,
2012-04-07,5153,,2038,3591,5814,3070,1246,4493,
2012-05-09,5655,,2722,3861,7110,4061,1383,4491,
2012-05-10,4151,,1977,2799,4688,2844,1035,4088,
2012-03-04,2416,,1078,1791,3556,1880,513,2450,
2012-07-26,5560,,2043,4174,6476,3208,1595,4383,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-01-06,6097,,2604,4110,7175,3895,1692,6595,
2012-10-01,397,,3,238,563,275,18,241,
2012-01-15,54,,0,33,60,18,0,0,
2012-10-31,2634,,1294,1835,3453,2220,245,2570,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-04-17,3539,,1616,2636,4592,2450,544,3333,
2012-06-03,269,,0,192,437,170,10,0,
2012-12-04,3064,,1483,2306,4076,2280,590,3213,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-04-26,2751,,1069,2196,3546,1789,381,2438,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-06-23,3753,,1326,1842,3992,1910,2585,4824,
2012-02-10,5139,,2525,3281,5845,3732,1229,4497,
2012-07-23,3877,,1660,2420,4937,2534,1461,3475,
2012-08-23,5437,,2482,3807,6773,3573,1864,5010,
2012-10-24,3744,,1868,2625,4900,3035,649,3622,
