IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
303;Нижнее белье Белая Свобода;white;;XS;100;20.34
555;Туфли Ультра Лайн;brown;39.0;;100;40.69
230;Штаны Цветочная Поляна;purple;;S;100;31.97
300;Нижнее белье Белая Свобода;white;;L;100;20.34
526;Туфли Ультра Лайн;jeans;38.0;;100;40.69
402;Футболка Женский Соблазн;white;;S;100;12.34
624;Ремень Строчка;brown;;XS;100;11.62
516;Туфли Полет Валькирии;blue;37.0;;100;36.33
236;Штаны Цветочная Поляна;white;;M;100;31.97
294;Нижнее белье Морская Волна;see;;XS;100;18.88
632;Ремень Плетение;red;;XL;100;10.9
515;Туфли Полет Валькирии;blue;36.0;;100;36.33
522;Туфли Ультра Лайн;jeans;35.0;;100;40.69
357;Нижнее белье Ночь наступает;black;;S;100;22.66
598;Ремень Радуга;green;;M;100;5.67
181;Штаны Полосатый Рейс;purple;;XL;100;29.06
183;Штаны Полосатый Рейс;purple;;M;100;29.06
214;Штаны Жизнь в Абстракции;redblue;;S;100;27.61
235;Штаны Цветочная Поляна;white;;XS;100;31.97
434;Спортивный Костюм Элегантность в Ночи;black;;XS;100;36.78
479;Домашние Тапочки Любимый Спорт;brown;36.0;;100;14.52
316;Нижнее белье Интимный Вечер;black;;L;100;17.43
374;Футболка Женская Чистота;white;;M;100;10.89
480;Домашние Тапочки Любимый Спорт;brown;37.0;;100;14.52
282;Платье Красная Фея;red;;L;99;58.13
278;Платье Ночная Жизнь;black;;S;100;65.4
410;Спортивный Костюм Нежная Теплота;azure;;M;100;33.87
580;Ремень Радуга;blue;;L;100;5.67
334;Нижнее белье Огонек в Ночи;black;;L;100;21.79
545;Туфли Ультра Лайн;flowers;36.0;;100;40.69
409;Спортивный Костюм Нежная Теплота;azure;;XS;100;33.87
364;Футболка Мужская Чистота;white;;XS;100;11.62
401;Футболка Женский Соблазн;white;;M;100;12.34
219;Штаны Жизнь в Абстракции;orangered;;XS;99;27.61
251;Штаны Цветочная Поляна;green;;S;100;31.97
275;Платье Ночная Жизнь;black;;XL;100;65.4
559;Ремень Радуга;purple;;L;100;5.67
296;Нижнее белье Морская Волна;see;;S;100;18.88
497;Туфли Вечерняя Бабочка;purple;36.0;;100;43.6
532;Туфли Ультра Лайн;white;37.0;;100;40.69
383;Футболка Женская Ночь;black;;M;100;11.03
218;Штаны Жизнь в Абстракции;orangered;;XL;100;27.61
458;Спортивный Костюм Вечерний Спорт;white;;L;100;39.24
605;Ремень Класика;black;;XL;100;17.3
268;Платье Весенняя Легкость;purple;;M;0;43.6
597;Ремень Радуга;green;;XS;100;5.67
204;Штаны Полосатый Рейс;blue;;M;100;29.06
599;Ремень Радуга;green;;S;100;5.67
248;Штаны Цветочная Поляна;green;;XL;100;31.97
305;Нижнее белье Белая Свобода;white;;S;100;20.34
569;Ремень Радуга;see;;XS;100;5.67
266;Платье Весенняя Легкость;purple;;XL;100;43.6
603;Ремень Класика;black;;L;100;17.3
293;Нижнее белье Морская Волна;see;;XL;100;18.88
225;Штаны Цветочная Поляна;purple;;L;100;31.97
243;Штаны Цветочная Поляна;red;;M;100;31.97
320;Нижнее белье Интимный Вечер;black;;M;100;17.43
561;Ремень Радуга;purple;;XL;100;5.67
440;Спортивный Костюм Розовый Вихрь;pink;;L;100;37.36
203;Штаны Полосатый Рейс;blue;;XS;100;29.06
309;Нижнее белье Интимный Вечер;white;;L;100;15.98
211;Штаны Жизнь в Абстракции;redblue;;XL;100;27.61
534;Туфли Ультра Лайн;white;39.0;;100;40.69
213;Штаны Жизнь в Абстракции;redblue;;M;100;27.61
541;Туфли Ультра Лайн;red;39.0;;100;40.69
577;Ремень Радуга;pink;;M;100;5.67
284;Платье Красная Фея;red;;XL;100;58.13
616;Ремень Элегантность;brown;;M;100;10.61
267;Платье Весенняя Легкость;purple;;XS;0;43.6
249;Штаны Цветочная Поляна;green;;XS;100;31.97
314;Нижнее белье Интимный Вечер;white;;S;100;15.98
321;Нижнее белье Интимный Вечер;black;;S;100;17.43
336;Нижнее белье Огонек в Ночи;black;;XL;100;21.79
197;Штаны Полосатый Рейс;brown;;M;100;29.06
209;Штаны Жизнь в Абстракции;redblue;;L;99;27.61
382;Футболка Женская Ночь;black;;XS;100;11.03
286;Платье Красная Фея;red;;M;99;58.13
318;Нижнее белье Интимный Вечер;black;;XL;100;17.43
562;Ремень Радуга;purple;;XS;100;5.67
220;Штаны Жизнь в Абстракции;orangered;;M;100;27.61
370;Футболка Женская Чистота;white;;L;100;10.89
642;Ремень Грубая Кожа;brown;;XS;100;10.39
495;Туфли Вечерняя Бабочка;purple;35.0;;100;43.6
418;Спортивный Костюм Огонь в Ночи;black;;XS;100;36.33
578;Ремень Радуга;pink;;S;100;5.67
346;Нижнее белье Розовое Смущенье;pink;;XS;100;17.43
379;Футболка Женская Ночь;black;;L;100;11.03
431;Спортивный Костюм Элегантность в Ночи;black;;L;100;36.78
287;Платье Красная Фея;red;;S;99;58.13
576;Ремень Радуга;pink;;XS;100;5.67
291;Нижнее белье Морская Волна;see;;L;100;18.88
614;Ремень Элегантность;brown;;XL;100;10.61
