IE_ID;IP_PROP5562
720251;17.10.2019 11:17:17
720250;17.10.2019 11:09:32
720255;17.10.2019 12:04:34
720257;17.10.2019 12:17:11
720258;17.10.2019 12:40:07
720281;17.10.2019 14:10:31
720290;17.10.2019 14:37:11
720297;17.10.2019 15:21:57
720301;17.10.2019 16:20:13
720303;17.10.2019 16:26:25
720253;17.10.2019 11:53:01
720256;17.10.2019 12:12:44
720262;17.10.2019 12:53:55
720276;17.10.2019 14:01:33
720284;17.10.2019 14:21:13
720286;17.10.2019 14:24:09
720288;17.10.2019 14:31:44
720313;17.10.2019 17:27:02
720334;17.10.2019 18:45:36
720367;18.10.2019 04:05:50
723064;31.10.2019 11:23:53
723080;31.10.2019 12:22:26
723082;31.10.2019 12:28:09
723084;31.10.2019 12:43:32
723090;31.10.2019 13:26:45
723106;31.10.2019 15:18:21
723121;31.10.2019 15:37:32
723122;31.10.2019 15:38:28
723126;31.10.2019 15:43:39
723134;31.10.2019 15:55:33
723139;31.10.2019 16:14:20
723158;31.10.2019 19:09:11
719405;14.10.2019 11:49:33
719417;14.10.2019 13:10:35
719544;15.10.2019 09:00:01
719569;15.10.2019 10:36:47
719588;15.10.2019 11:06:04
719594;15.10.2019 11:34:52
719624;15.10.2019 14:10:40
706598;14.09.2019 13:14:21
706663;15.09.2019 17:24:39
706747;16.09.2019 11:37:17
706759;16.09.2019 12:28:25
706764;16.09.2019 12:55:48
706766;16.09.2019 12:57:27
720474;18.10.2019 12:28:59
720477;18.10.2019 12:53:05
720479;18.10.2019 13:04:41
720483;18.10.2019 13:24:01
721135;22.10.2019 16:26:33
721137;22.10.2019 16:27:54
721148;22.10.2019 17:20:29
721149;22.10.2019 17:20:41
721178;22.10.2019 18:18:52
721179;22.10.2019 18:22:18
721184;22.10.2019 18:37:18
706954;17.09.2019 13:03:08
706956;17.09.2019 13:06:28
706957;17.09.2019 13:25:05
706962;17.09.2019 14:33:14
706974;17.09.2019 15:35:40
706979;17.09.2019 15:58:00
706983;17.09.2019 16:15:34
707023;17.09.2019 23:15:58
707025;18.09.2019 00:27:30
720593;18.10.2019 16:47:24
720720;20.10.2019 08:43:16
707192;18.09.2019 19:08:37
707210;18.09.2019 23:11:49
707217;19.09.2019 00:47:10
707231;19.09.2019 05:36:48
707243;19.09.2019 08:01:54
707267;19.09.2019 10:21:32
716911;26.09.2019 18:47:52
716914;26.09.2019 19:39:23
716923;26.09.2019 21:58:07
716930;27.09.2019 01:12:15
716942;27.09.2019 04:15:09
716962;27.09.2019 08:32:29
716963;27.09.2019 08:35:25
716976;27.09.2019 09:01:32
716989;27.09.2019 11:14:49
717001;27.09.2019 12:17:17
717016;27.09.2019 13:56:21
717024;27.09.2019 15:15:09
717031;27.09.2019 16:12:31
717071;28.09.2019 01:34:45
717131;28.09.2019 21:04:15
717172;29.09.2019 17:10:58
719944;15.10.2019 18:12:27
706778;16.09.2019 13:41:48
706813;16.09.2019 16:16:10
706827;16.09.2019 17:10:55
706829;16.09.2019 17:15:05
706833;16.09.2019 17:28:55
706836;16.09.2019 17:54:41
706838;16.09.2019 18:06:50
706873;17.09.2019 05:54:04
706897;17.09.2019 09:36:42
706909;17.09.2019 10:22:20
706931;17.09.2019 11:09:07
706934;17.09.2019 11:15:43
706936;17.09.2019 11:35:09
706960;17.09.2019 14:05:01
706964;17.09.2019 14:45:00
706973;17.09.2019 15:31:44
